platform_region_combined,platform,cloudregion,on_demand_price_usd,on_demand_price_eur,capacity_storage_price_usd,capacity_storage_price_eur,standard_tier_price_eur,standard_tier_price_usd,standard_tier_price_gbp,enterprise_tier_price_eur,enterprise_tier_price_usd,enterprise_tier_price_gbp,business-critical_tier_price_eur,business-critical_tier_price_usd,business-critical_tier_price_gbp
amazonwebservicesaws_asiapacificmumbai,amazonwebservicesaws,asiapacificmumbai,46.00,38.33,25.00,20.83,1.83,2.20,,2.75,3.30,,3.67,4.40,
amazonwebservicesaws_asiapacificosaka,amazonwebservicesaws,asiapacificosaka,46.00,38.33,25.00,20.83,2.38,2.85,,3.58,4.30,,4.75,5.70,
amazonwebservicesaws_asiapacificseoul,amazonwebservicesaws,asiapacificseoul,46.00,38.33,25.00,20.83,2.29,2.75,,3.38,4.05,,4.58,5.50,
amazonwebservicesaws_asiapacificsingapore,amazonwebservicesaws,asiapacificsingapore,46.00,38.33,25.00,20.83,2.08,2.50,,3.08,3.70,,3.38,5.00,
amazonwebservicesaws_asiapacificsydney,amazonwebservicesaws,asiapacificsydney,46.00,38.33,25.00,20.83,2.29,2.75,,3.38,4.05,,4.58,5.50,
amazonwebservicesaws_asiapacifictokyo,amazonwebservicesaws,asiapacifictokyo,46.00,38.33,25.00,20.83,2.38,2.85,,3.58,4.30,,4.75,5.70,
amazonwebservicesaws_canadacentral,amazonwebservicesaws,canadacentral,46.00,38.33,25.00,20.83,1.88,2.25,,2.92,3.50,,3.75,4.50,
amazonwebservicesaws_eufrankfurt,amazonwebservicesaws,eufrankfurt,45.00,37.50,24.50,20.42,2.17,2.60,,3.25,3.90,,4.33,5.20,
amazonwebservicesaws_euireland,amazonwebservicesaws,euireland,40.00,33.33,23.00,19.17,2.17,2.60,,3.25,3.90,,4.33,5.20,
amazonwebservicesaws_eulondon,amazonwebservicesaws,eulondon,42.00,35.00,24.00,20.00,2.25,2.70,,3.33,4.00,,4.50,5.40,
amazonwebservicesaws_europestockholm,amazonwebservicesaws,europestockholm,40.00,33.33,23.00,19.17,2.17,2.60,,3.25,3.90,,4.33,5.20,
amazonwebservicesaws_southamericaeast1saopaulo,amazonwebservicesaws,southamericaeast1saopaulo,74.00,61.66,40.50,33.75,2.58,3.10,,3.88,4.65,,5.17,6.20,
amazonwebservicesaws_useastcommercialgovnva,amazonwebservicesaws,useastcommercialgovnva,40.00,33.33,23.00,19.17,,,,,,,,,
amazonwebservicesaws_useastnorthernvirginia,amazonwebservicesaws,useastnorthernvirginia,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
amazonwebservicesaws_useastohio,amazonwebservicesaws,useastohio,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,2.75,4.00,
amazonwebservicesaws_uswestoregon,amazonwebservicesaws,uswestoregon,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
googlecloudplatform_europewest2london,googlecloudplatform,europewest2london,40.00,33.33,23.00,19.17,2.25,2.70,,3.33,4.00,,4.50,5.40,
googlecloudplatform_europewest4netherlands,googlecloudplatform,europewest4netherlands,35.00,33.33,20.00,19.17,2.17,2.60,,3.25,3.90,,4.33,5.20,
googlecloudplatform_uscentral1iowa,googlecloudplatform,uscentral1iowa,35.00,29.17,20.00,16.67,1.67,2.00,,2.50,3.00,,3.33,4.00,
googlecloudplatform_useast4nvirginia,googlecloudplatform,useast4nvirginia,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
microsoftazure_australiaeastsydney,microsoftazure,australiaeastsydney,46.00,38.33,25.00,20.83,2.29,2.75,,3.38,4.05,,4.58,5.50,
microsoftazure_canadacentraltoronto,microsoftazure,canadacentraltoronto,46.00,38.33,25.00,20.83,1.88,2.25,,2.92,3.50,,3.75,4.50,
microsoftazure_centralindiapune,microsoftazure,centralindiapune,46.00,38.33,25.00,20.83,1.83,2.20,,2.75,3.30,,3.67,4.40,
microsoftazure_centralusiowa,microsoftazure,centralusiowa,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
microsoftazure_eastus2virginia,microsoftazure,eastus2virginia,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
microsoftazure_japaneasttokyo,microsoftazure,japaneasttokyo,46.00,38.33,25.00,20.83,2.38,2.85,,3.58,4.30,,4.75,5.70,
microsoftazure_northeuropeireland,microsoftazure,northeuropeireland,40.00,33.33,23.00,19.17,2.17,2.60,,3.25,3.90,,4.33,5.20,
microsoftazure_southcentralustexas,microsoftazure,southcentralustexas,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
microsoftazure_southeastasiasingapore,microsoftazure,southeastasiasingapore,46.00,38.33,25.00,20.83,2.08,2.50,,3.08,3.70,,4.17,5.00,
microsoftazure_switzerlandnorthzurich,microsoftazure,switzerlandnorthzurich,50.50,42.08,28.80,24.00,2.58,3.10,,3.88,4.65,,5.17,6.20,
microsoftazure_uaenorthdubai,microsoftazure,uaenorthdubai,44.50,37.08,25.40,21.17,2.25,2.70,,3.33,4.40,,4.50,5.40,
microsoftazure_usgovvirginia,microsoftazure,usgovvirginia,68.00,56.67,39.00,32.50,,,,,,,,,
microsoftazure_westeuropenetherlands,microsoftazure,westeuropenetherlands,40.00,33.33,23.00,19.17,2.17,2.60,,3.25,3.90,,4.33,5.20,
microsoftazure_westus2washington,microsoftazure,westus2washington,40.00,33.33,23.00,19.17,1.67,2.00,,2.50,3.00,,3.33,4.00,
